查询次数,EvoStar,ACMC,ADPE,COBRA,COBRAS,A3S,FFQS,SSSE,SPACE
0,0.0,0.0,0.0,0.2637484294606201,0.0,0.3583,0.0834128436823525,0.1266473280222694,0.0914343818978094
1,0.0,0.003332914277267314,0.0028920026763583633,0.2637484294606201,0.0,0.3589,0.08429538903421244,0.1266473280222694,0.0914343818978094
2,0.0521372690338995,0.006665828554534628,0.0057840053527167265,0.2637484294606201,0.0,0.3589,0.08517793438607238,0.1266473280222694,0.0914343818978094
3,0.0521372690338995,0.009998742831801941,0.00867600802907509,0.2637484294606201,0.0662619981516059,0.358,0.08606047973793232,0.1266473280222694,0.0914343818978094
4,0.041401233562675804,0.013331657109069256,0.011568010705433453,0.2637484294606201,0.0662619981516059,0.358,0.08694302508979226,0.1266473280222694,0.0914343818978094
5,0.0306651980914521,0.01666457138633657,0.014460013381791816,0.2637484294606201,0.0662619981516059,0.3581,0.0878255704416522,0.12111910205080104,0.0914343818978094
6,0.045740407269411545,0.019997485663603883,0.01735201605815018,0.2629935924025502,0.0662619981516059,0.359,0.09515963843601147,0.11559087607933266,0.0914343818978094
7,0.060815616447371,0.0233303999408712,0.020244018734508543,0.2629935924025502,0.0464521404233273,0.359,0.10249370643037073,0.11006265010786427,0.0914343818978094
8,0.060815616447371,0.02666331421813851,0.023136021410866906,0.2629935924025502,0.0464521404233273,0.359,0.10982777442472999,0.1045344241363959,0.0914343818978094
9,0.060815616447371,0.029996228495405824,0.02602802408722527,0.2629935924025502,0.0464521404233273,0.359,0.11716184241908924,0.1045344241363959,0.0914343818978094
10,0.060815616447371,0.03332914277267314,0.028920026763583632,0.2629935924025502,0.0464521404233273,0.359,0.1244959104134485,0.1045344241363959,0.0914343818978094
11,0.060815616447371,0.03666205704994045,0.031812029439942,0.2617699776381861,0.0464521404233273,0.359,0.12002887437574766,0.1045344241363959,0.0914343818978094
12,0.0681074943117794,0.039994971327207765,0.03470403211630036,0.2617699776381861,0.0464521404233273,0.359,0.11556183833804683,0.1045344241363959,0.0914343818978094
13,0.0753993721761878,0.04332788560447508,0.037596034792658724,0.2631728020986909,0.0464521404233273,0.359,0.11109480230034599,0.1045344241363959,0.0914343818978094
14,0.0753993721761878,0.0466607998817424,0.04048803746901709,0.2631728020986909,0.0464521404233273,0.359,0.10662776626264514,0.1045344241363959,0.0914343818978094
15,0.0753993721761878,0.048647202890923544,0.04338004014537545,0.2631941515004196,0.0464521404233273,0.359,0.1021607302249443,0.1045344241363959,0.0914343818978094
16,0.0753993721761878,0.05063360590010469,0.04627204282173381,0.2635483927575395,0.0518779890474246,0.359,0.10495029186695075,0.1045344241363959,0.0914343818978094
17,0.07496757614717445,0.05262000890928584,0.049164045498092175,0.2610536995647262,0.0518779890474246,0.359,0.10773985350895718,0.11006265010786427,0.0914343818978094
18,0.0745357801181611,0.054606411918466984,0.05205604817445054,0.2619047437076239,0.0518779890474246,0.359,0.11052941515096362,0.11559087607933266,0.0914343818978094
19,0.07702443711560764,0.05659281492764813,0.0549480508508089,0.2619047437076239,0.0518779890474246,0.359,0.11331897679297005,0.12111910205080104,0.0914343818978094
20,0.07951309411305417,0.05857921793682928,0.0549480508508089,0.2619047437076239,0.0518779890474246,0.359,0.1161085384349765,0.1266473280222694,0.0914343818978094
21,0.0820017511105007,0.06056562094601042,0.0549480508508089,0.2619047437076239,0.0946251489229331,0.359,0.12498714379395942,0.12111910205080104,0.0687771435758899
22,0.0820017511105007,0.06255202395519158,0.0549480508508089,0.2619047437076239,0.0946251489229331,0.359,0.13386574915294233,0.11559087607933266,0.0687771435758899
23,0.08793720192920455,0.06453842696437272,0.0549480508508089,0.263623587843817,0.0946251489229331,0.359,0.14274435451192524,0.11006265010786427,0.0687771435758899
24,0.0938726527479084,0.06652482997355386,0.054547267750432164,0.263623587843817,0.0946251489229331,0.359,0.15162295987090818,0.1045344241363959,0.0687771435758899
25,0.0938726527479084,0.06851123298273501,0.054146484650055435,0.2592537358188594,0.0946251489229331,0.359,0.1605015652298911,0.11006265010786427,0.0687771435758899
26,0.0938726527479084,0.07049763599191616,0.0537457015496787,0.2592537358188594,0.0946251489229331,0.3602,0.14913707376671054,0.11559087607933266,0.0687771435758899
27,0.09620427721310046,0.0724840390010973,0.0537457015496787,0.2592537358188594,0.0946251489229331,0.3593,0.13777258230352998,0.12111910205080104,0.0687771435758899
28,0.0985359016782925,0.07447044201027844,0.05642833993786837,0.2592537358188594,0.0946251489229331,0.3593,0.12640809084034943,0.1266473280222694,0.0687771435758899
29,0.0985359016782925,0.0764568450194596,0.05911097832605803,0.2592537358188594,0.0946251489229331,0.3593,0.11504359937716885,0.12111910205080104,0.0687771435758899
30,0.0985359016782925,0.07945943792150056,0.0617936167142477,0.260457360487478,0.0946251489229331,0.3593,0.1036791079139883,0.11559087607933266,0.0687771435758899
31,0.0985359016782925,0.08246203082354152,0.0708749091434988,0.260457360487478,0.0946251489229331,0.3596,0.10218530524227351,0.11006265010786427,0.0687771435758899
32,0.101382523467103,0.08546462372558249,0.0708749091434988,0.260457360487478,0.0946251489229331,0.3606,0.10069150257055874,0.1045344241363959,0.0687771435758899
33,0.1042291452559135,0.08846721662762345,0.0708749091434988,0.260457360487478,0.0946251489229331,0.3606,0.09919769989884396,0.11006265010786427,0.0687771435758899
34,0.1095234210759611,0.09146980952966442,0.0708749091434988,0.260457360487478,0.0946251489229331,0.3606,0.09770389722712919,0.11559087607933266,0.0687771435758899
35,0.1148176968960087,0.09447240243170538,0.07153829476278672,0.260992405644407,0.0946251489229331,0.3606,0.0962100945554144,0.12111910205080104,0.0687771435758899
36,0.1148176968960087,0.09747499533374634,0.07220168038207467,0.2596099860310376,0.0946251489229331,0.3606,0.09487378801621746,0.1266473280222694,0.0687771435758899
37,0.1148176968960087,0.10047758823578731,0.0728650660013626,0.2596099860310376,0.0946251489229331,0.362,0.09353748147702053,0.12111910205080104,0.0687771435758899
38,0.11692033333246696,0.10348018113782828,0.0664799164417655,0.2596099860310376,0.0946251489229331,0.362,0.09220117493782358,0.11559087607933266,0.0687771435758899
39,0.11902296976892524,0.10648277403986924,0.0664799164417655,0.2596099860310376,0.0946251489229331,0.3637,0.09086486839862665,0.11006265010786427,0.0687771435758899
40,0.1211256062053835,0.1094853669419102,0.0692789343574559,0.2596099860310376,0.0946251489229331,0.3637,0.0895285618594297,0.1045344241363959,0.0687771435758899
41,0.1211256062053835,0.11248795984395116,0.0692789343574559,0.2554927514950245,0.0946251489229331,0.3637,0.07760933439440967,0.11006265010786427,0.0687771435758899
42,0.12466595095257746,0.11549055274599213,0.0878159249748176,0.2555840449035538,0.1091316252168589,0.3637,0.06569010692938966,0.11559087607933266,0.0687771435758899
43,0.1282062956997714,0.1184931456480331,0.0878159249748176,0.2491797098931619,0.1091316252168589,0.3637,0.05377087946436964,0.12111910205080104,0.0687771435758899
44,0.13219208394431764,0.12085659639834559,0.08930245448493776,0.2491797098931619,0.1091316252168589,0.3637,0.04185165199934962,0.1266473280222694,0.0687771435758899
45,0.1361778721888639,0.12322004714865807,0.0907889839950579,0.2491797098931619,0.1091316252168589,0.3637,0.0299324245343296,0.12111910205080104,0.0687771435758899
