查询次数,EvoStar,ACMC,ADPE,COBRA,COBRAS,A3S,FFQS,SSSE,SPACE
0,0.0,0.0,0.0,0.203472844642645,0.0,0.062,0.4392425579771576,0.594874462,0.50309852616361
1,0.1030274679058292,0.015271851882124939,0.0047042889999999995,0.2117790515327862,0.0,0.0677,0.4478870364250432,0.594874462,0.50309852616361
2,0.16441557701308016,0.030543703764249877,0.009408577999999999,0.2131181033953909,0.0,0.077,0.4565315148729288,0.594874462,0.50309852616361
3,0.2258036861203311,0.045815555646374816,0.014112866999999998,0.2240622988015851,0.0,0.077,0.4651759933208144,0.594874462,0.50309852616361
4,0.26218571855688916,0.061087407528499754,0.018817155999999998,0.2305108997030792,0.521787135,0.077,0.4738204717687,0.594874462,0.50309852616361
5,0.29856775099344723,0.07635925941062469,0.023521445,0.2355161676660447,0.521787135,0.0882,0.4824649502165856,0.594874462,0.50309852616361
6,0.3349497834300053,0.09163111129274963,0.028225733999999995,0.2583079385727612,0.521787135,0.0937,0.48023136737807465,0.594874462,0.50309852616361
7,0.3710724565607037,0.10690296317487458,0.032930022999999996,0.2647797895017957,0.521787135,0.0937,0.47799778453956376,0.594874462,0.50309852616361
8,0.4071951296914021,0.12217481505699951,0.037634311999999996,0.2647797895017957,0.521787135,0.0988,0.4757642017010528,0.594874462,0.50309852616361
9,0.43850900151672495,0.13744666693912444,0.042338601,0.2725978064393752,0.521787135,0.1036,0.47353061886254194,0.594874462,0.50309852616361
10,0.46982287334204775,0.15271851882124937,0.04704289,0.2838546016532079,0.521787135,0.1116,0.471297036024031,0.594874462,0.50309852616361
11,0.5011367451673706,0.16799037070337433,0.04994145,0.2976083836898132,0.521787135,0.119,0.476387400324023,0.594874462,0.50309852616361
12,0.5324506169926935,0.18326222258549926,0.050396473,0.3183518524597973,0.521787135,0.1288,0.481477764624015,0.594874462,0.50309852616361
13,0.530585057823254,0.1985340744676242,0.053813186,0.3286503963314791,0.521787135,0.1357,0.486568128924007,0.594874462,0.50309852616361
14,0.5287194986538146,0.21380592634974915,0.055087915,0.3286503963314791,0.521787135,0.1357,0.491658493223999,0.594874462,0.50309852616361
15,0.5268539394843753,0.22907777823187409,0.055956853,0.3286503963314791,0.521787135,0.144,0.496748857523991,0.594874462,0.50309852616361
16,0.5249883803149359,0.24434963011399902,0.056764175,0.330988334858641,0.521787135,0.1466,0.4907214279997411,0.594874462,0.50309852616361
17,0.5231228211454965,0.25962148199612395,0.05764274,0.330988334858641,0.521787135,0.1571,0.4846939984754912,0.594874462,0.50309852616361
18,0.528777123522853,0.2748933338782489,0.0572590405,0.3568886816123333,0.521787135,0.166,0.47866656895124127,0.594874462,0.50309852616361
19,0.5344314259002095,0.2901651857603738,0.056875341,0.3642491795806462,0.521787135,0.1705,0.4726391394269914,0.594874462,0.50309852616361
20,0.5400857282775661,0.30543703764249874,0.05922334,0.3766231536734478,0.521787135,0.1727,0.4666117099027415,0.594874462,0.50309852616361
21,0.5457400306549226,0.32070888952462373,0.060297242,0.3783306463415425,0.506185145,0.1727,0.46641478036125866,0.594874462,0.50309852616361
22,0.5513943330322791,0.33598074140674866,0.061227637,0.3841011829789466,0.506185145,0.1786,0.46621785081977585,0.594874462,0.50309852616361
23,0.5570486354096357,0.3512525932888736,0.062609807,0.4287814840612122,0.506185145,0.1843,0.46602092127829303,0.594874462,0.50309852616361
24,0.5570486354096357,0.3665244451709985,0.063770591,0.4622496075865259,0.506185145,0.1947,0.4658239917368102,0.594874462,0.50309852616361
25,0.5570486354096357,0.38179629705312346,0.065895744,0.4863184126862896,0.506185145,0.1994,0.4656270621953274,0.594874462,0.50309852616361
26,0.5570486354096357,0.3970681489352484,0.065458822,0.4987004418345657,0.506185145,0.2039,0.45403182454287255,0.594874462,0.50309852616361
27,0.5634181750474301,0.4123400008173733,0.0650219,0.4987004418345657,0.506185145,0.2039,0.4424365868904177,0.594874462,0.50309852616361
28,0.5697877146852245,0.4276118526994983,0.064629061,0.525698082901389,0.505494337,0.2039,0.4308413492379629,0.594874462,0.50309852616361
29,0.5761572543230189,0.44288370458162324,0.066706722,0.5330668326400421,0.505494337,0.2066,0.41924611158550806,0.594874462,0.50309852616361
