查询次数,EvoStar,ACMC,ADPE,COBRA,COBRAS,A3S,FFQS,SSSE,SPACE
0,0.0,0.0,0.0,0.2682808321604219,0.0,0.0203,0.6270456719786686,0.747198569,0.474953016282755
1,0.1676211251002531,0.012281744803085299,0.003512952666666667,0.2785894480906424,0.0,0.02093333333333333,0.6111276059139826,0.747198569,0.474953016282755
2,0.17275228621376498,0.024563489606170597,0.007025905333333334,0.2832071224525951,0.0,0.021566666666666668,0.5952095398492967,0.747198569,0.474953016282755
3,0.1778834473272769,0.0368452344092559,0.010538858000000002,0.2941619217778278,0.0,0.0222,0.5792914737846108,0.747198569,0.474953016282755
4,0.2050605655491643,0.049126979212341194,0.014051810666666668,0.3089006850508109,0.562683908,0.02365,0.5633734077199248,0.747198569,0.474953016282755
5,0.2322376837710517,0.06140872401542649,0.017564763333333334,0.3229588949682393,0.562683908,0.0251,0.5474553416552389,0.747198569,0.474953016282755
6,0.2594148019929391,0.0736904688185118,0.021077716000000003,0.3328763541245274,0.562683908,0.02655,0.5556143732566088,0.747198569,0.474953016282755
7,0.2768242636630745,0.08597221362159709,0.02459066866666667,0.3433485196805026,0.562683908,0.028,0.5637734048579787,0.747198569,0.474953016282755
8,0.2942337253332099,0.09825395842468239,0.028103621333333335,0.3500985672977482,0.562683908,0.0283,0.5719324364593484,0.747198569,0.474953016282755
9,0.3116431870033453,0.11053570322776769,0.031616574,0.3725161639307135,0.562683908,0.0286,0.5800914680607183,0.747198569,0.474953016282755
10,0.3290526486734807,0.12281744803085298,0.03512952666666667,0.3807913583786995,0.562683908,0.0289,0.5882504996620882,0.747198569,0.474953016282755
11,0.3467611838403624,0.1350991928339383,0.038642479333333334,0.3876564402772288,0.562683908,0.029133333333333334,0.5938673275524333,0.747198569,0.474953016282755
12,0.36446971900724406,0.1473809376370236,0.04215543200000001,0.4105813758641924,0.562683908,0.029366666666666666,0.5994841554427784,0.747198569,0.474953016282755
13,0.38217825417412576,0.1596626824401089,0.04566838466666667,0.4315176917474451,0.562683908,0.0296,0.6051009833331237,0.747198569,0.474953016282755
14,0.3998867893410074,0.17194442724319417,0.04918133733333334,0.4397411218131961,0.562683908,0.030100000000000002,0.6107178112234688,0.747198569,0.474953016282755
15,0.4175953245078891,0.18422617204627947,0.052694290000000005,0.4397411218131961,0.562683908,0.0306,0.6163346391138139,0.747198569,0.474953016282755
16,0.4330346731933082,0.19650791684936478,0.05620724266666667,0.4504467919701824,0.562683908,0.0317,0.6179432114546958,0.747198569,0.474953016282755
17,0.44847402187872726,0.20878966165245008,0.05972019533333334,0.4744340546639248,0.562683908,0.0328,0.6195517837955776,0.747198569,0.474953016282755
18,0.4639133705641463,0.22107140645553539,0.063233148,0.4744340546639248,0.562683908,0.0338,0.6211603561364594,0.747198569,0.474953016282755
19,0.47935271924956535,0.23335315125862066,0.06674610066666667,0.5083391908129454,0.562683908,0.0348,0.6227689284773412,0.747198569,0.474953016282755
20,0.4947920679349844,0.24563489606170597,0.07025905333333334,0.5166097258128731,0.562683908,0.0349,0.6243775008182231,0.747198569,0.474953016282755
21,0.5102314166204035,0.25791664086479127,0.073772006,0.527369534887747,0.562683908,0.034999999999999996,0.6066896452119287,0.747198569,0.474953016282755
22,0.5102314166204035,0.2701983856678766,0.07728495866666667,0.5322333197106676,0.562683908,0.0351,0.5890017896056343,0.747198569,0.474953016282755
23,0.5130247647782687,0.2824801304709619,0.08079791133333333,0.5573747882099412,0.562683908,0.03526666666666667,0.5713139339993399,0.747198569,0.474953016282755
24,0.5158181129361341,0.2947618752740472,0.08431086400000001,0.5772013522546549,0.562683908,0.03543333333333333,0.5536260783930456,0.747198569,0.474953016282755
25,0.5186114610939994,0.3070436200771325,0.08782381666666668,0.5890923364592169,0.562683908,0.0356,0.5359382227867512,0.747198569,0.474953016282755
26,0.5214048092518647,0.3193253648802178,0.09133676933333335,0.624558056339364,0.562683908,0.0358,0.5473468136209598,0.747198569,0.474953016282755
