查询次数,EvoStar,ACMC,ADPE,COBRA,COBRAS,A3S,FFQS,SSSE,SPACE
0,0.0,0.0,,0.3158510265365522,,,,,
1,0.0003461801746947964,0.012772765675713012,,0.3158510265365522,,,,,
2,0.0006923603493895928,0.025545531351426023,,0.3161995288374683,,,,,
3,0.0010385405240843893,0.038318297027139035,,0.3184132842156297,,,,,
4,0.0013847206987791856,0.05109106270285205,,0.3205558443202829,,,,,
5,0.001730900873473982,0.06386382837856505,,0.3205558443202829,,,,,
6,0.0020770810481687786,0.07663659405427807,,0.3231201189093078,,,,,
7,0.0024232612228635747,0.08940935972999109,,0.3231201189093078,,,,,
8,0.0027694413975583713,0.1021821254057041,,0.3256272284301171,,,,,
9,0.003115621572253168,0.1149548910814171,,0.3256272284301171,,,,,
10,0.003461801746947964,0.1277276567571301,,0.3327519609721519,,,,,
11,0.0038079819216427606,0.14050042243284314,,0.3327519609721519,,,,,
12,0.004154162096337557,0.15327318810855614,,0.3337509168389105,,,,,
13,0.004500342271032354,0.16604595378426915,,0.3337509168389105,,,,,
14,0.0048465224457271494,0.17881871945998218,,0.3357371668142895,,,,,
15,0.005192702620421946,0.19159148513569518,,0.3357371668142895,,,,,
16,0.005538882795116743,0.2043642508114082,,0.3390843071617831,,,,,
17,0.005885062969811539,0.2171370164871212,,0.3401321046479552,,,,,
18,0.006231243144506336,0.2299097821628342,,0.3424996321464669,,,,,
19,0.0065774233192011314,0.24268254783854723,,0.3424996321464669,,,,,
20,0.006923603493895928,0.2554553135142602,,0.3424996321464669,,,,,
21,0.007269783668590725,0.26822807918997327,,0.3473251862026415,,,,,
22,0.007615963843285521,0.2810008448656863,,0.3496386193027651,,,,,
23,0.007962144017980318,0.2937736105413993,,0.3496386193027651,,,,,
24,0.008308324192675114,0.3065463762171123,,0.3535067117436685,,,,,
25,0.008654504367369911,0.3193191418928253,,0.3535067117436685,,,,,
26,0.009000684542064707,0.3320919075685383,,0.3548068516346913,,,,,
27,0.009346864716759502,0.3448646732442513,,0.3548068516346913,,,,,
28,0.009693044891454299,0.35763743891996436,,0.3564127923965166,,,,,
29,0.010039225066149095,0.37041020459567736,,0.3577217050394531,,,,,
30,0.010385405240843892,0.38318297027139037,,0.3577217050394531,,,,,
31,0.010731585415538689,0.39595573594710337,,0.3591775739755086,,,,,
32,0.011077765590233485,0.4087285016228164,,0.3591775739755086,,,,,
33,0.011423945764928282,0.4215012672985294,,0.3605029944088425,,,,,
34,0.011770125939623078,0.4342740329742424,,0.3605029944088425,,,,,
35,0.012116306114317875,0.4470467986499554,,0.3605029944088425,,,,,
36,0.012462486289012671,0.4598195643256684,,0.361265030929339,,,,,
37,0.012808666463707468,0.47259233000138146,,0.3621440899568943,,,,,
38,0.013154846638402263,0.48536509567709446,,0.3621440899568943,,,,,
39,0.01350102681309706,0.49813786135280747,,0.3621440899568943,,,,,
40,0.013847206987791856,0.5109106270285204,,0.3653655128687803,,,,,
41,0.014193387162486653,0.5236833927042335,,0.3668705476960481,,,,,
42,0.01453956733718145,0.5364561583799465,,0.3668705476960481,,,,,
43,0.014885747511876246,0.5492289240556595,,0.3687705217838434,,,,,
44,0.015231927686571042,0.5620016897313725,,0.3702434853627941,,,,,
45,0.015578107861265839,0.5747744554070855,,0.3725917492281059,,,,,
46,0.015924288035960635,0.5875472210827986,,0.37608141509986,,,,,
47,0.01627046821065543,0.6003199867585115,,0.377231790692608,,,,,
48,0.01661664838535023,0.6130927524342246,,0.377231790692608,,,,,
49,0.016962828560045023,0.6258655181099376,,0.377231790692608,,,,,
50,0.017309008734739822,0.6386382837856506,,0.377231790692608,,,,,
51,0.017655188909434617,0.6514110494613636,,0.3781774793062877,,,,,
52,0.018001369084129415,0.65141117315782,,0.3846815207614193,,,,,
53,0.01834754925882421,0.6514112968542765,,0.3865755974231823,,,,,
54,0.018693729433519005,0.6514114205507328,,0.3878840628419057,,,,,
55,0.019039909608213803,0.6514115442471892,,0.3887257588734646,,,,,
56,0.019386089782908598,0.6514116679436456,,0.3887257588734646,,,,,
57,0.019732269957603396,0.651411791640102,,0.3887257588734646,,,,,
58,0.02007845013229819,0.6514119153365583,,0.3904361242443601,,,,,
59,0.02042463030699299,0.6514120390330147,,0.3924149598274065,,,,,
60,0.020770810481687784,0.6514121627294711,,0.3949383128611743,,,,,
61,0.021116990656382582,0.6514122864259275,,0.3949383128611743,,,,,
62,0.021463170831077377,0.6514124101223838,,0.3984063923097241,,,,,
63,0.021809351005772176,0.6514125338188402,,0.3993302910963116,,,,,
64,0.02215553118046697,0.6514126575152966,,0.3993302910963116,,,,,
65,0.022501711355161765,0.6514127812117531,,0.4028176485502712,,,,,
66,0.022847891529856564,0.6514129049082094,,0.403740808136148,,,,,
67,0.02319407170455136,0.6514130286046658,,0.403740808136148,,,,,
68,0.023540251879246157,0.6514131523011222,,0.4117336702394853,,,,,
69,0.02388643205394095,0.6514132759975786,,0.4169816243348743,,,,,
70,0.02423261222863575,0.6514133996940349,,0.4180195782972785,,,,,
71,0.024578792403330545,0.6514135233904913,,0.4206343787047295,,,,,
72,0.024924972578025343,0.6514136470869477,,0.4276060950313589,,,,,
73,0.025271152752720138,0.6514137707834041,,0.4308666510772015,,,,,
74,0.025617332927414936,0.6514138944798604,,0.4416394398974842,,,,,
75,0.02596351310210973,0.6514140181763168,,0.4416394398974842,,,,,
76,0.026309693276804526,0.6514141418727732,,0.4416394398974842,,,,,
77,0.026655873451499324,0.6514142655692297,,0.4447040550630406,,,,,
78,0.02700205362619412,0.651414389265686,,0.4513925366182155,,,,,
79,0.027348233800888917,0.6514145129621424,,0.465369430325101,,,,,
80,0.027694413975583712,0.6514146366585988,,0.465369430325101,,,,,
81,0.02804059415027851,0.6514147603550552,,0.465369430325101,,,,,
82,0.028386774324973305,0.6514148840515115,,0.4685619264928322,,,,,
83,0.028732954499668104,0.6514150077479679,,0.4685619264928322,,,,,
84,0.0290791346743629,0.6514151314444243,,0.4685619264928322,,,,,
85,0.029425314849057697,0.6514152551408807,,0.4710086828994061,,,,,
86,0.02977149502375249,0.651415378837337,,0.4710086828994061,,,,,
87,0.030117675198447286,0.6514155025337934,,0.4742301194784317,,,,,
88,0.030463855373142085,0.6514156262302498,,0.4771361878543046,,,,,
89,0.03081003554783688,0.6514157499267063,,0.4771361878543046,,,,,
90,0.031156215722531678,0.6514158736231626,,0.4832655188621063,,,,,
91,0.031502395897226476,0.651415997319619,,0.4851951964863198,,,,,
92,0.03184857607192127,0.6514161210160754,,0.4885312961702814,,,,,
93,0.032194756246616066,0.6514162447125318,,0.4928203639054458,,,,,
94,0.03254093642131086,0.6514163684089881,,0.495765045983949,,,,,
95,0.03288711659600566,0.6514164921054445,,0.4992087301553252,,,,,
96,0.03323329677070046,0.6514166158019009,,0.4992087301553252,,,,,
97,0.03357947694539525,0.6514167394983573,,0.5010921933538119,,,,,
98,0.03392565712009005,0.6514168631948136,,0.5039933419592236,,,,,
99,0.03427183729478484,0.65141698689127,,0.5065499568155288,,,,,
100,0.034618017469479644,0.6514171105877264,,0.5090817653556732,,,,,
101,0.03496419764417444,0.6514172342841829,,0.5223089340215115,,,,,
102,0.03531037781886923,0.6514173579806392,,0.5260687413884985,,,,,
103,0.03565655799356403,0.6514174816770956,,0.5260687413884985,,,,,
104,0.03600273816825883,0.651417605373552,,0.5281793941192388,,,,,
105,0.036348918342953625,0.6514177290700084,,0.5304462904564039,,,,,
106,0.03669509851764842,0.6514178527664647,,0.5308025659385044,,,,,
107,0.037041278692343214,0.6514179764629211,,0.5346357037423094,,,,,
108,0.03738745886703801,0.6514181001593775,,0.5385990547674896,,,,,
109,0.03773363904173281,0.6514194755748588,,0.5393678737996235,,,,,
110,0.038079819216427606,0.65142085099034,,0.5413828229834708,,,,,
111,0.0384259993911224,0.6514222264058211,,0.5466575305889604,,,,,
112,0.038772179565817196,0.6514236018213024,,0.5466575305889604,,,,,
113,0.039118359740512,0.6514249772367837,,0.5484220855169917,,,,,
114,0.03946453991520679,0.6514263526522649,,0.5506657576939765,,,,,
115,0.03981072008990159,0.6514277280677461,,0.5506657576939765,,,,,
116,0.04015690026459638,0.6514291034832274,,0.5506657576939765,,,,,
117,0.040503080439291184,0.6514304788987086,,0.5506657576939765,,,,,
118,0.04084926061398598,0.6514318543141898,,0.5518866239440062,,,,,
119,0.04119544078868077,0.651433229729671,,0.5536180985347531,,,,,
120,0.04154162096337557,0.6514346051451523,,0.5558403222273651,,,,,
121,0.04188780113807036,0.6514359805606336,,0.5575224984022028,,,,,
122,0.042233981312765165,0.6514373559761147,,0.5575224984022028,,,,,
123,0.04258016148745996,0.6514387313915959,,0.5591168953668254,,,,,
124,0.042926341662154754,0.6514401068070772,,0.5591168953668254,,,,,
125,0.04327252183684955,0.6514414822225585,,0.560747333647771,,,,,
126,0.04361870201154435,0.6514428576380397,,0.5626152650772829,,,,,
127,0.043964882186239146,0.6514442330535208,,0.5664409315828642,,,,,
128,0.04431106236093394,0.6514456084690021,,0.5674856602413131,,,,,
129,0.044657242535628736,0.6514469838844834,,0.5688654731646514,,,,,
130,0.04500342271032353,0.6514483592999646,,0.5697039735863779,,,,,
131,0.04534960288501833,0.6514494732185814,,0.5709796172570969,,,,,
132,0.04569578305971313,0.6514505871371982,,0.5754176407688147,,,,,
133,0.04604196323440792,0.651451701055815,,0.576273499848892,,,,,
134,0.04638814340910272,0.6514528149744317,,0.577273736189263,,,,,
135,0.04673432358379752,0.6514539288930485,,0.5780351178299405,,,,,
136,0.04708050375849231,0.6514550428116654,,0.5793465194312696,,,,,
137,0.04742668393318711,0.6514561567302822,,0.580292733416886,,,,,
138,0.0477728641078819,0.651457270648899,,0.5809531003332974,,,,,
139,0.0481190442825767,0.6514583845675158,,0.5809531003332974,,,,,
140,0.0484652244572715,0.6514594984861326,,0.5809531003332974,,,,,
141,0.048811404631966294,0.6514606124047494,,0.5809531003332974,,,,,
142,0.04915758480666109,0.6514617263233662,,0.5809531003332974,,,,,
143,0.049503764981355884,0.651462840241983,,0.5809531003332974,,,,,
144,0.049849945156050686,0.6514639541605998,,0.5809531003332974,,,,,
145,0.05019612533074548,0.6514650680792166,,0.5809531003332974,,,,,
146,0.050542305505440276,0.6514661819978333,,0.5809531003332974,,,,,
147,0.05088848568013507,0.6514672959164503,,0.5809531003332974,,,,,
148,0.05123466585482987,0.651468409835067,,0.5809531003332974,,,,,
149,0.05158084602952467,0.6514695237536838,,0.5809531003332974,,,,,
150,0.05192702620421946,0.6514706376723006,,0.5809531003332974,,,,,
151,0.05227320637891426,0.6514717515909174,,0.5809531003332974,,,,,
152,0.05261938655360905,0.6514728655095342,,0.5809531003332974,,,,,
153,0.05296556672830385,0.651473342693102,,0.5809531003332974,,,,,
154,0.05331174690299865,0.6514738198766697,,0.5809531003332974,,,,,
155,0.05365792707769344,0.6514742970602374,,0.5809531003332974,,,,,
156,0.05400410725238824,0.6514747742438052,,0.5809531003332974,,,,,
157,0.05435028742708304,0.651475251427373,,0.5809531003332974,,,,,
158,0.054696467601777835,0.6514757286109407,,0.5809531003332974,,,,,
159,0.05504264777647263,0.6514762057945084,,0.5809531003332974,,,,,
160,0.055388827951167424,0.6514766829780761,,0.5809531003332974,,,,,
161,0.05573500812586222,0.6514771601616439,,0.5809531003332974,,,,,
